---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  2.330e-01  [0 1.000e+00 1.000e+00 9.996e-08]  [2488 -1 76]
 ST 1-2  4.830e-01  [-81 7.980e-05 7.980e-05 2.920e-05]  !2550 -1 77!
 ST 2-1  7.000e-01  [0 1.000e+00 2.297e+00 9.984e-08]  [2292 -1 76]
 ST 2-2  9.520e-01  [-74 1.904e-04 4.373e-04 1.461e-05]  !2550 -1 79!
 ST 2-3  1.210e+00  [-171 2.782e-09 6.390e-09 2.579e-02]  !2550 -1 74!
 ST 3-1  1.448e+00  [0 1.000e+00 2.491e+00 9.993e-08]  [2255 0 77]
 ST 3-2  1.689e+00  [-73 2.073e-04 5.163e-04 1.320e-05]  !2550 -1 78!
 ST 3-3  2.000e+00  [-171 2.736e-09 6.816e-09 2.535e-02]  !2550 -1 78!
 ST 4-1  2.267e+00  [0 1.000e+00 2.136e+00 9.991e-08]  [2253 0 81]
 ST 4-2  2.560e+00  [-75 1.778e-04 3.797e-04 1.516e-05]  !2550 -1 78!
 ST 4-3  2.855e+00  [-171 2.696e-09 5.757e-09 2.508e-02]  !2550 -1 77!
 ST 5-1  3.354e+00  [0 1.000e+00 1.619e+00 9.992e-08]  [2250 0 88]
 ST 5-2  3.642e+00  [-77 1.348e-04 2.183e-04 1.968e-05]  !2550 -1 81!
 ST 5-3  3.924e+00  [-171 2.653e-09 4.296e-09 2.521e-02]  !2550 -1 77!
 ST 6-1  4.165e+00  [0 1.000e+00 1.137e+00 9.998e-08]  [2243 -1 78]
 ST 6-2  4.452e+00  [-80 9.467e-05 1.076e-04 2.756e-05]  !2550 -1 75!
 ST 7-1  4.677e+00  [0 1.000e+00 7.567e-01 9.992e-08]  [2241 -1 76]
 ST 7-2  4.943e+00  [-84 6.302e-05 4.768e-05 4.078e-05]  !2550 -1 74!
 ST 8-1  5.153e+00  [0 1.000e+00 4.840e-01 9.994e-08]  [2234 -1 75]
 ST 8-2  5.394e+00  [-87 4.032e-05 1.951e-05 6.340e-05]  !2550 -1 76!
 ST 9-1  5.606e+00  [0 1.000e+00 3.001e-01 9.992e-08]  [2225 -1 75]
 ST 9-2  5.847e+00  [-92 2.502e-05 7.509e-06 9.977e-05]  !2550 -1 76!
 ST 10-1  6.072e+00  [0 1.000e+00 1.815e-01 9.995e-08]  [2223 -1 70]
 ST 10-2  6.325e+00  [-96 1.514e-05 2.748e-06 1.609e-04]  !2550 -1 72!
 ST 11-1  6.535e+00  [0 1.000e+00 1.075e-01 9.997e-08]  [2208 0 75]
 ST 11-2  6.775e+00  [-100 8.987e-06 9.662e-07 2.622e-04]  !2550 -1 76!
 ST 12-1  6.987e+00  [0 1.000e+00 6.258e-02 9.990e-08]  [2198 0 75]
 ST 12-2  7.242e+00  [-105 5.236e-06 3.276e-07 4.411e-04]  !2550 -1 78!
 ST 13-1  7.458e+00  [0 1.000e+00 3.587e-02 9.984e-08]  [2189 -1 76]
 ST 13-2  7.693e+00  [-110 3.013e-06 1.081e-07 6.693e-04]  !2550 -1 76!
 ST 14-1  7.911e+00  [0 1.000e+00 2.029e-02 9.998e-08]  [2183 -1 76]
 ST 14-2  8.168e+00  [-115 1.706e-06 3.461e-08 1.107e-03]  !2550 -1 77!
 ST 15-1  8.379e+00  [0 1.000e+00 1.134e-02 9.987e-08]  [2155 0 75]
 ST 15-2  8.625e+00  [-120 9.648e-07 1.094e-08 2.478e-03]  !2550 -1 76!
 ST 16-1  8.832e+00  [0 1.000e+00 6.274e-03 9.988e-08]  [2165 0 76]
 ST 16-2  9.075e+00  [-125 5.371e-07 3.369e-09 1.946e-03]  !2550 -1 77!
 ST 17-1  9.285e+00  [0 1.000e+00 3.438e-03 9.992e-08]  [2177 -1 76]
 ST 17-2  9.554e+00  [-130 3.111e-07 1.070e-09 4.678e-03]  !2550 -1 78!
 ST 18-1  9.796e+00  [0 1.000e+00 1.868e-03 9.992e-08]  [2208 0 77]
 ST 18-2  1.008e+01  [-134 1.850e-07 3.457e-10 5.262e-03]  !2550 -1 78!
 ST 19-1  1.034e+01  [0 1.000e+00 1.008e-03 9.990e-08]  [2468 0 79]
 ST 19-2  1.063e+01  [-137 1.338e-07 1.349e-10 8.971e-04]  !2550 -1 74!
 ST 20-1  1.090e+01  [0 1.000e+00 5.403e-04 1.547e-07]  !2550 -1 79!
 ST 20-2  1.116e+01  [-135 1.601e-07 8.653e-11 1.730e-02]  !2550 -1 78!
 ST 21-1  1.141e+01  [0 1.000e+00 2.883e-04 2.599e-07]  !2550 -1 80!
 ST 21-2  1.166e+01  [-131 2.618e-07 7.549e-11 1.631e-02]  !2550 -1 76!
 ST 22-1  1.190e+01  [0 1.000e+00 1.530e-04 4.370e-07]  !2550 -1 79!
 ST 22-2  1.215e+01  [-127 4.375e-07 6.694e-11 1.649e-02]  !2550 -1 76!
 ST 23-1  1.240e+01  [0 1.000e+00 8.119e-05 8.035e-07]  !2550 -1 78!
 ST 24-1  1.267e+01  [0 1.000e+00 4.283e-05 1.583e-06]  !2550 -1 74!
 ST 25-1  1.293e+01  [0 1.000e+00 2.279e-05 3.107e-06]  !2550 -1 76!
 ST 26-1  1.320e+01  [0 1.000e+00 1.200e-05 6.150e-06]  !2550 -1 78!
 ST 27-1  1.344e+01  [0 1.000e+00 6.568e-06 1.123e-05]  !2550 -1 77!
 ST 28-1  1.367e+01  [0 1.000e+00 3.586e-06 2.096e-05]  !2550 -1 77!
 ST 29-1  1.391e+01  [0 1.000e+00 2.308e-06 3.195e-05]  !2550 -1 76!
 ST 30-1  1.424e+01  [0 1.000e+00 1.643e-06 4.438e-05]  !2550 -1 83!
 ST 31-1  1.450e+01  [0 1.000e+00 1.479e-06 4.824e-05]  !2550 -1 76!
 ST 32-1  1.476e+01  [0 1.000e+00 1.387e-06 5.201e-05]  !2550 -1 72!
 ST 33-1  1.500e+01  [0 1.000e+00 1.378e-06 5.120e-05]  !2550 -1 77!
 ST 34-1  1.524e+01  [0 1.000e+00 1.365e-06 5.237e-05]  !2550 -1 77!
 ST 35-1  1.549e+01  [0 1.000e+00 1.365e-06 5.280e-05]  !2550 -1 77!
 ST 36-1  1.578e+01  [0 1.000e+00 1.362e-06 5.280e-05]  !2550 -1 78!
 ST 37-1  1.602e+01  [0 1.000e+00 1.360e-06 5.257e-05]  !2550 -1 78!
 ST 38-1  1.628e+01  [0 1.000e+00 1.359e-06 5.256e-05]  !2550 -1 79!
 ST 39-1  1.653e+01  [0 1.000e+00 1.357e-06 5.268e-05]  !2550 -1 79!
 ST 40-1  1.679e+01  [0 1.000e+00 1.355e-06 5.274e-05]  !2550 -1 76!
 ST 41-1  1.709e+01  [0 1.000e+00 1.354e-06 5.257e-05]  !2550 -1 79!
 ST 42-1  1.734e+01  [0 1.000e+00 1.352e-06 5.268e-05]  !2550 -1 78!
 ST 43-1  1.767e+01  [0 1.000e+00 1.351e-06 5.231e-05]  !2550 -1 82!
 ST 44-1  1.796e+01  [0 1.000e+00 1.349e-06 5.259e-05]  !2550 -1 79!
 ST 45-1  1.825e+01  [0 1.000e+00 1.348e-06 5.249e-05]  !2550 -1 79!
 ST 46-1  1.856e+01  [0 1.000e+00 1.346e-06 5.229e-05]  !2550 -1 76!
 ST 47-1  1.884e+01  [0 1.000e+00 1.345e-06 5.258e-05]  !2550 -1 78!
 ST 48-1  1.912e+01  [0 1.000e+00 1.343e-06 5.228e-05]  !2550 -1 79!
 ST 49-1  1.939e+01  [0 1.000e+00 1.342e-06 5.253e-05]  !2550 -1 78!
 ST 50-1  1.967e+01  [0 1.000e+00 1.340e-06 5.244e-05]  !2550 -1 79!
 ST 51-1  1.998e+01  [0 1.000e+00 1.338e-06 5.247e-05]  !2550 -1 79!
 ST 52-1  2.027e+01  [0 1.000e+00 1.337e-06 5.235e-05]  !2550 -1 81!
 ST 53-1  2.053e+01  [0 1.000e+00 1.335e-06 5.225e-05]  !2550 -1 74!
 ST 54-1  2.078e+01  [0 1.000e+00 1.334e-06 5.223e-05]  !2550 -1 75!
 ST 55-1  2.109e+01  [0 1.000e+00 1.332e-06 5.241e-05]  !2550 -1 66!
 ST 56-1  2.134e+01  [0 1.000e+00 1.331e-06 5.236e-05]  !2550 -1 78!
 ST 57-1  2.158e+01  [0 1.000e+00 1.329e-06 5.227e-05]  !2550 -1 77!
 ST 58-1  2.182e+01  [0 1.000e+00 1.328e-06 5.228e-05]  !2550 -1 77!
 ST 59-1  2.206e+01  [0 1.000e+00 1.326e-06 5.221e-05]  !2550 -1 77!
 ST 60-1  2.230e+01  [0 1.000e+00 1.325e-06 5.221e-05]  !2550 -1 77!
 ST 61-1  2.255e+01  [0 1.000e+00 1.323e-06 5.219e-05]  !2550 -1 78!
 ST 62-1  2.279e+01  [0 1.000e+00 1.322e-06 5.239e-05]  !2550 -1 76!
 ST 63-1  2.303e+01  [0 1.000e+00 1.320e-06 5.257e-05]  !2550 -1 77!
 ST 64-1  2.327e+01  [0 1.000e+00 1.319e-06 5.215e-05]  !2550 -1 77!
 ST 65-1  2.352e+01  [0 1.000e+00 1.317e-06 5.222e-05]  !2550 -1 77!
 ST 66-1  2.379e+01  [0 1.000e+00 1.315e-06 5.214e-05]  !2550 -1 74!
 ST 67-1  2.403e+01  [0 1.000e+00 1.314e-06 5.253e-05]  !2550 -1 77!
 ST 68-1  2.428e+01  [0 1.000e+00 1.312e-06 5.220e-05]  !2550 -1 77!
 ST 69-1  2.456e+01  [0 1.000e+00 1.311e-06 5.219e-05]  !2550 -1 80!
 ST 70-1  2.480e+01  [0 1.000e+00 1.309e-06 5.236e-05]  !2550 -1 77!
 ST 71-1  2.508e+01  [0 1.000e+00 1.308e-06 5.267e-05]  !2550 -1 78!
 ST 72-1  2.536e+01  [0 1.000e+00 1.306e-06 5.220e-05]  !2550 -1 78!
 ST 73-1  2.563e+01  [0 1.000e+00 1.305e-06 5.217e-05]  !2550 -1 78!
 ST 74-1  2.593e+01  [0 1.000e+00 1.303e-06 5.256e-05]  !2550 -1 80!
 ST 75-1  2.621e+01  [0 1.000e+00 1.302e-06 5.253e-05]  !2550 -1 78!
 ST 76-1  2.648e+01  [0 1.000e+00 1.300e-06 5.217e-05]  !2550 -1 78!
 ST 77-1  2.674e+01  [0 1.000e+00 1.299e-06 5.229e-05]  !2550 -1 78!
 ST 78-1  2.698e+01  [0 1.000e+00 1.297e-06 5.216e-05]  !2550 -1 78!
 ST 79-1  2.723e+01  [0 1.000e+00 1.296e-06 5.218e-05]  !2550 -1 77!
 ST 80-1  2.749e+01  [0 1.000e+00 1.294e-06 5.216e-05]  !2550 -1 75!
 ST 81-1  2.772e+01  [0 1.000e+00 1.293e-06 5.249e-05]  !2550 -1 76!
 ST 82-1  2.796e+01  [0 1.000e+00 1.291e-06 5.217e-05]  !2550 -1 76!
 ST 83-1  2.820e+01  [0 1.000e+00 1.290e-06 5.218e-05]  !2550 -1 77!
 ST 84-1  2.843e+01  [0 1.000e+00 1.288e-06 5.215e-05]  !2550 -1 76!
 ST 85-1  2.867e+01  [0 1.000e+00 1.287e-06 5.219e-05]  !2550 -1 75!
 ST 86-1  2.891e+01  [0 1.000e+00 1.285e-06 5.249e-05]  !2550 -1 77!
 ST 87-1  2.914e+01  [0 1.000e+00 1.284e-06 5.219e-05]  !2550 -1 74!
 ST 88-1  2.938e+01  [0 1.000e+00 1.283e-06 5.224e-05]  !2550 -1 75!
 ST 89-1  2.961e+01  [0 1.000e+00 1.281e-06 5.224e-05]  !2550 -1 77!
 ST 90-1  2.985e+01  [0 1.000e+00 1.280e-06 5.227e-05]  !2550 -1 76!
 ST 91-1  3.010e+01  [0 1.000e+00 1.278e-06 5.225e-05]  !2550 -1 74!
 ST 92-1  3.033e+01  [0 1.000e+00 1.277e-06 5.233e-05]  !2550 -1 77!
 ST 93-1  3.057e+01  [0 1.000e+00 1.275e-06 5.223e-05]  !2550 -1 78!
 ST 94-1  3.081e+01  [0 1.000e+00 1.274e-06 5.234e-05]  !2550 -1 76!
 ST 95-1  3.106e+01  [0 1.000e+00 1.272e-06 5.223e-05]  !2550 -1 78!
 ST 96-1  3.131e+01  [0 1.000e+00 1.271e-06 5.248e-05]  !2550 -1 72!
 ST 97-1  3.156e+01  [0 1.000e+00 1.269e-06 5.230e-05]  !2550 -1 77!
 ST 98-1  3.180e+01  [0 1.000e+00 1.268e-06 5.237e-05]  !2550 -1 77!
 ST 99-1  3.207e+01  [0 1.000e+00 1.266e-06 5.227e-05]  !2550 -1 79!
 ST 100-1s 3.232e+01  [0 1.000e+00 1.265e-06 5.240e-05]  !2550 -1 77!
