---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  3.291e+00  [0 1.000e+00 1.000e+00 5.011e-03]  !2550 0 96!
 ST 1-2  6.588e+00  [2 1.298e+00 1.298e+00 8.365e-04]  !2550 0 96!
 ST 1-3  9.807e+00  [-33 2.031e-02 2.031e-02 1.524e-02]  !2550 0 97!
 ST 1-4  1.312e+01  [-66 4.905e-04 4.905e-04 1.551e-01]  !2550 0 95!
 ST 1-5  1.650e+01  [-81 8.242e-05 8.242e-05 1.943e-01]  !2550 0 97!
 ST 2-1  1.987e+01  [0 1.000e+00 8.965e+00 8.383e-04]  !2550 0 96!
 ST 2-2  2.332e+01  [-14 1.926e-01 1.726e+00 1.231e-03]  !2550 0 95!
 ST 2-3  2.678e+01  [-29 3.330e-02 2.985e-01 2.016e-03]  !2550 0 94!
 ST 2-4  3.018e+01  [-70 2.976e-04 2.668e-03 6.286e-02]  !2550 0 94!
 ST 2-5  3.353e+01  [-93 2.131e-05 1.910e-04 2.006e-01]  !2550 0 96!
 ST 3-1  3.699e+01  [0 1.000e+00 5.545e+00 8.034e-04]  !2550 0 94!
 ST 3-2  4.032e+01  [-15 1.740e-01 9.646e-01 1.080e-03]  !2550 0 96!
 ST 3-3  4.373e+01  [-40 9.781e-03 5.423e-02 5.266e-03]  !2550 0 96!
 ST 3-4  4.711e+01  [-74 1.911e-04 1.059e-03 4.753e-02]  !2550 0 96!
 ST 3-5  5.045e+01  [-99 1.052e-05 5.836e-05 1.065e-01]  !2550 0 96!
 ST 4-1  5.386e+01  [0 1.000e+00 6.188e+00 1.046e-03]  !2550 0 96!
 ST 4-2  5.730e+01  [-15 1.771e-01 1.096e+00 1.451e-03]  !2550 0 95!
 ST 4-3  6.063e+01  [-40 9.319e-03 5.767e-02 8.052e-03]  !2550 0 96!
 ST 4-4  6.406e+01  [-76 1.504e-04 9.307e-04 1.179e-01]  !2550 0 94!
 ST 4-5  6.735e+01  [-93 2.132e-05 1.319e-04 1.439e-01]  !2550 0 96!
 ST 5-1  7.065e+01  [0 1.000e+00 5.172e+00 6.869e-04]  !2550 0 96!
 ST 5-2  7.397e+01  [-15 1.749e-01 9.045e-01 9.262e-04]  !2550 0 96!
 ST 5-3  7.730e+01  [-48 3.876e-03 2.004e-02 1.054e-02]  !2550 0 95!
