---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 1-1  4.291e+00  [0 1.000e+00 1.000e+00 1.894e-03]  !2550 -1 77!
 ST 1-2  7.740e+00  [-5 5.084e-01 5.084e-01 1.504e-03]  !2550 0 96!
 ST 1-3  1.129e+01  [-8 3.914e-01 3.914e-01 1.331e-03]  !2550 0 96!
 ST 1-4  1.476e+01  [-9 3.301e-01 3.301e-01 1.246e-03]  !2550 0 96!
 ST 1-5  1.812e+01  [-10 2.908e-01 2.908e-01 1.198e-03]  !2550 0 95!
 ST 1-6  2.167e+01  [-11 2.628e-01 2.628e-01 1.168e-03]  !2550 0 96!
 ST 1-7  2.518e+01  [-12 2.416e-01 2.416e-01 1.147e-03]  !2550 0 93!
 ST 1-8  2.860e+01  [-12 2.248e-01 2.248e-01 1.125e-03]  !2550 0 96!
 ST 1-9  3.202e+01  [-13 2.110e-01 2.110e-01 1.120e-03]  !2550 0 96!
 ST 1-10  3.545e+01  [-13 1.995e-01 1.995e-01 1.111e-03]  !2550 0 95!
 ST 1-11  3.896e+01  [-14 1.897e-01 1.897e-01 1.104e-03]  !2550 0 96!
 ST 1-12  4.237e+01  [-14 1.812e-01 1.812e-01 1.098e-03]  !2550 0 95!
 ST 1-13  4.572e+01  [-15 1.738e-01 1.738e-01 1.092e-03]  !2550 0 95!
 ST 1-14  4.923e+01  [-15 1.672e-01 1.672e-01 1.088e-03]  !2550 0 96!
