lumen_wall lumen_outlet lumen_inlet 
1.137612E1 3.13174438 3.12251153 

2.621502E5 2.026441E5 3.169146E5 
8.523830E4 1.199826E5 5.360913E4 
1.569360E5 1.457363E5 1.657109E5 
1.361026E5 1.385170E5 1.345011E5 
1.411778E5 1.404072E5 1.412021E5 
1.399310E5 1.399355E5 1.397793E5 
1.402184E5 1.400483E5 1.400768E5 
1.401208E5 1.400208E5 1.399649E5 
1.401254E5 1.400263E5 1.399711E5 
1.401066E5 1.400245E5 1.399508E5 
1.400948E5 1.400244E5 1.399399E5 
1.400828E5 1.400240E5 1.399297E5 
1.400719E5 1.400239E5 1.399214E5 
1.400616E5 1.400239E5 1.399143E5 
1.400520E5 1.400240E5 1.399084E5 
1.400429E5 1.400241E5 1.399035E5 
1.400344E5 1.400244E5 1.398995E5 
1.400264E5 1.400246E5 1.398964E5 
1.400188E5 1.400248E5 1.398940E5 
1.400118E5 1.400249E5 1.398922E5 
1.400053E5 1.400250E5 1.398913E5 
1.399994E5 1.400250E5 1.398911E5 
1.399941E5 1.400248E5 1.398916E5 
1.399895E5 1.400246E5 1.398929E5 
1.399856E5 1.400242E5 1.398949E5 
1.399824E5 1.400236E5 1.398976E5 
1.399800E5 1.400230E5 1.399010E5 
1.399781E5 1.400222E5 1.399049E5 
1.399766E5 1.400209E5 1.399091E5 
1.399767E5 1.400203E5 1.399148E5 
1.399767E5 1.400191E5 1.399200E5 
1.399776E5 1.400181E5 1.399260E5 
1.399788E5 1.400170E5 1.399321E5 
1.399804E5 1.400160E5 1.399383E5 
1.399824E5 1.400149E5 1.399446E5 
1.399846E5 1.400139E5 1.399508E5 
1.399869E5 1.400130E5 1.399569E5 
1.399894E5 1.400121E5 1.399628E5 
1.399918E5 1.400112E5 1.399684E5 
1.399943E5 1.400105E5 1.399737E5 
1.399967E5 1.400098E5 1.399787E5 
1.399990E5 1.400092E5 1.399833E5 
1.400011E5 1.400086E5 1.399875E5 
1.400031E5 1.400081E5 1.399913E5 
1.400050E5 1.400076E5 1.399947E5 
1.400066E5 1.400072E5 1.399978E5 
1.400082E5 1.400069E5 1.400006E5 
1.400095E5 1.400066E5 1.400030E5 
1.400107E5 1.400063E5 1.400052E5 
1.400118E5 1.400060E5 1.400071E5 
1.400128E5 1.400058E5 1.400087E5 
1.400136E5 1.400056E5 1.400101E5 
1.400143E5 1.400055E5 1.400114E5 
1.400149E5 1.400053E5 1.400124E5 
1.400155E5 1.400052E5 1.400133E5 
1.400159E5 1.400051E5 1.400141E5 
1.400163E5 1.400050E5 1.400148E5 
1.400166E5 1.400049E5 1.400153E5 
1.400169E5 1.400048E5 1.400158E5 
1.400172E5 1.400048E5 1.400162E5 
1.400174E5 1.400047E5 1.400166E5 
1.400176E5 1.400047E5 1.400169E5 
1.400177E5 1.400046E5 1.400171E5 
1.400178E5 1.400046E5 1.400174E5 
1.400178E5 1.400045E5 1.400174E5 
1.400178E5 1.400043E5 1.400175E5 
1.400178E5 1.400042E5 1.400175E5 
1.400178E5 1.400041E5 1.400176E5 
1.400178E5 1.400041E5 1.400176E5 
1.400179E5 1.400040E5 1.400178E5 
1.400180E5 1.400041E5 1.400178E5 
1.400180E5 1.400041E5 1.400180E5 
1.400181E5 1.400041E5 1.400180E5 
1.400181E5 1.400041E5 1.400181E5 
1.400181E5 1.400041E5 1.400181E5 
1.400182E5 1.400041E5 1.400182E5 
1.400182E5 1.400041E5 1.400182E5 
1.400182E5 1.400041E5 1.400183E5 
1.400183E5 1.400041E5 1.400183E5 
1.400183E5 1.400041E5 1.400184E5 
1.400183E5 1.400041E5 1.400184E5 
1.400183E5 1.400041E5 1.400184E5 
1.400183E5 1.400041E5 1.400185E5 
1.400184E5 1.400041E5 1.400185E5 
1.400184E5 1.400041E5 1.400185E5 
1.400184E5 1.400041E5 1.400185E5 
1.400184E5 1.400041E5 1.400185E5 
1.400184E5 1.400041E5 1.400186E5 
1.400184E5 1.400042E5 1.400186E5 
1.400184E5 1.400042E5 1.400186E5 
1.400185E5 1.400042E5 1.400186E5 
1.400185E5 1.400042E5 1.400186E5 
1.400185E5 1.400042E5 1.400186E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400187E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400185E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
1.400186E5 1.400042E5 1.400188E5 
