lumen_wall lumen_outlet lumen_inlet 
1.137612E1 3.13174438 3.12251153 

8.28829778 5.81881374 1.85227150 
7.01671108 3.19798947 1.85227150 
6.61114330 3.61333694 1.85227150 
6.49286344 3.46366500 1.85227150 
6.34559625 3.39313578 1.85227150 
6.21441575 3.33153406 1.85227150 
6.10050948 3.27647371 1.85227150 
5.99665772 3.22583385 1.85227150 
5.90139113 3.17910874 1.85227150 
5.81312760 3.13529107 1.85227150 
5.73072145 3.09389611 1.85227150 
5.65334413 3.05452084 1.85227150 
5.58036236 3.01680394 1.85227150 
5.51128001 2.98039132 1.85227150 
5.44571147 2.94494100 1.85227150 
5.38334384 2.91011542 1.85227150 
5.32393290 2.87559953 1.85227150 
5.26728399 2.84110479 1.85227150 
5.21325401 2.80637639 1.85227150 
5.16171035 2.77122182 1.85227150 
5.11257050 2.73549890 1.85227150 
5.06576653 2.69912949 1.85227150 
5.02124411 2.66209328 1.85227150 
4.97896791 2.62443388 1.85227150 
4.93891157 2.58625051 1.85227150 
4.90105673 2.54769592 1.85227150 
4.86538943 2.50896724 1.85227150 
4.83188942 2.47028686 1.85227150 
4.80053412 2.43190093 1.85227150 
4.77132335 2.39409983 1.85227150 
4.74420381 2.35710980 1.85227150 
4.71914228 2.32119717 1.85227150 
4.69608567 2.28658466 1.85227150 
4.67497177 2.25347569 1.85227150 
4.65572684 2.22203775 1.85227150 
4.63826803 2.19240356 1.85227150 
4.62250354 2.16466785 1.85227150 
4.60833401 2.13888765 1.85227150 
4.59565473 2.11508392 1.85227150 
4.58435834 2.09324519 1.85227150 
4.57433530 2.07333063 1.85227150 
4.56547769 2.05527625 1.85227150 
4.55767963 2.03899819 1.85227150 
4.55083884 2.02439832 1.85227150 
4.54485808 2.01136971 1.85227150 
4.53964568 1.99979852 1.85227150 
4.53511595 1.98956732 1.85227150 
4.53118950 1.98055814 1.85227150 
4.52779346 1.97265501 1.85227150 
4.52486185 1.96574643 1.85227150 
4.52233500 1.95972620 1.85227150 
4.52015965 1.95449504 1.85227150 
4.51828846 1.94996099 1.85227150 
4.51667959 1.94603971 1.85227150 
4.51529631 1.94265471 1.85227150 
4.51410652 1.93973697 1.85227150 
4.51308231 1.93722476 1.85227150 
4.51219953 1.93506327 1.85227150 
4.51143738 1.93320417 1.85227150 
4.51077798 1.93160501 1.85227150 
4.51020606 1.93022878 1.85227150 
4.50970855 1.92904325 1.85227150 
4.50927438 1.92802065 1.85227150 
4.50889413 1.92713700 1.85227150 
4.50854992 1.92638466 1.85227150 
4.50825227 1.92572305 1.85227150 
4.50798957 1.92514770 1.85227150 
4.50775849 1.92464190 1.85227150 
4.50755062 1.92419919 1.85227150 
4.50736651 1.92380938 1.85227150 
4.50719854 1.92346539 1.85227150 
4.50704723 1.92315968 1.85227150 
4.50690910 1.92288712 1.85227150 
4.50678406 1.92264329 1.85227150 
4.50666910 1.92242426 1.85227150 
4.50656453 1.92222710 1.85227150 
4.50646754 1.92204857 1.85227150 
4.50637914 1.92188684 1.85227150 
4.50629690 1.92173958 1.85227150 
4.50622149 1.92160546 1.85227150 
4.50615102 1.92148256 1.85227150 
4.50608616 1.92137002 1.85227150 
4.50602560 1.92126655 1.85227150 
4.50596973 1.92117142 1.85227150 
4.50591735 1.92108358 1.85227150 
4.50586896 1.92100256 1.85227150 
4.50582356 1.92092755 1.85227150 
4.50578145 1.92085815 1.85227150 
4.50574210 1.92079383 1.85227150 
4.50570545 1.92073413 1.85227150 
4.50567119 1.92067872 1.85227150 
4.50563925 1.92062720 1.85227150 
4.50560948 1.92057932 1.85227150 
4.50558162 1.92053478 1.85227150 
4.50555565 1.92049331 1.85227150 
4.50553144 1.92045473 1.85227150 
4.50550876 1.92041879 1.85227150 
4.50548763 1.92038530 1.85227150 
4.50546789 1.92035412 1.85227150 
4.50544952 1.92032506 1.85227150 
4.50543229 1.92029799 1.85227150 
4.50541627 1.92027275 1.85227150 
4.50540130 1.92024925 1.85227150 
4.50538732 1.92022733 1.85227150 
4.50537431 1.92020692 1.85227150 
4.50536215 1.92018791 1.85227150 
4.50535082 1.92017018 1.85227150 
4.50534024 1.92015367 1.85227150 
4.50533042 1.92013830 1.85227150 
4.50532121 1.92012398 1.85227150 
4.50531266 1.92011064 1.85227150 
4.50530468 1.92009823 1.85227150 
4.50529725 1.92008667 1.85227150 
4.50529033 1.92007591 1.85227150 
4.50528387 1.92006590 1.85227150 
4.50527786 1.92005658 1.85227150 
4.50527226 1.92004790 1.85227150 
4.50526705 1.92003983 1.85227150 
4.50526219 1.92003233 1.85227150 
4.50525767 1.92002534 1.85227150 
4.50525345 1.92001885 1.85227150 
4.50524953 1.92001280 1.85227150 
4.50524588 1.92000718 1.85227150 
4.50524248 1.92000195 1.85227150 
4.50523932 1.91999709 1.85227150 
4.50523637 1.91999257 1.85227150 
4.50523363 1.91998837 1.85227150 
4.50523107 1.91998446 1.85227150 
4.50522869 1.91998082 1.85227150 
4.50522648 1.91997744 1.85227150 
4.50522442 1.91997429 1.85227150 
4.50522249 1.91997136 1.85227150 
4.50522071 1.91996864 1.85227150 
4.50521904 1.91996611 1.85227150 
4.50521749 1.91996375 1.85227150 
4.50521605 1.91996156 1.85227150 
4.50521470 1.91995953 1.85227150 
4.50521346 1.91995763 1.85227150 
4.50521229 1.91995586 1.85227150 
4.50521120 1.91995422 1.85227150 
4.50521019 1.91995270 1.85227150 
4.50520925 1.91995127 1.85227150 
4.50520838 1.91994995 1.85227150 
4.50520756 1.91994872 1.85227150 
4.50520680 1.91994757 1.85227150 
4.50520609 1.91994651 1.85227150 
4.50520544 1.91994552 1.85227150 
4.50520482 1.91994459 1.85227150 
4.50520425 1.91994373 1.85227150 
4.50520372 1.91994293 1.85227150 
4.50520322 1.91994219 1.85227150 
4.50520276 1.91994149 1.85227150 
4.50520233 1.91994085 1.85227150 
4.50520193 1.91994025 1.85227150 
4.50520156 1.91993969 1.85227150 
4.50520121 1.91993917 1.85227150 
4.50520089 1.91993868 1.85227150 
4.50520059 1.91993823 1.85227150 
4.50520031 1.91993781 1.85227150 
4.50520005 1.91993742 1.85227150 
4.50519980 1.91993706 1.85227150 
4.50519958 1.91993672 1.85227150 
4.50519936 1.91993640 1.85227150 
4.50519917 1.91993611 1.85227150 
4.50519899 1.91993584 1.85227150 
4.50519882 1.91993558 1.85227150 
4.50519866 1.91993534 1.85227150 
4.50519851 1.91993512 1.85227150 
4.50519837 1.91993492 1.85227150 
4.50519824 1.91993473 1.85227150 
4.50519813 1.91993455 1.85227150 
4.50519801 1.91993438 1.85227150 
4.50519791 1.91993423 1.85227150 
4.50519781 1.91993409 1.85227150 
4.50519773 1.91993395 1.85227150 
4.50519764 1.91993383 1.85227150 
